X     Y     River     Chainage
402247.875    490077.000    MAHAWATTA ELA      93.417  
402247.438    490080.500    MAHAWATTA ELA      96.950  
402246.875    490084.906    MAHAWATTA ELA     101.371  
402246.344    490089.281    MAHAWATTA ELA     105.791  
402245.781    490093.656    MAHAWATTA ELA     110.212  
402245.250    490098.063    MAHAWATTA ELA     114.633  
402244.688    490102.438    MAHAWATTA ELA     119.054  
402244.156    490106.844    MAHAWATTA ELA     123.474  
402243.594    490111.219    MAHAWATTA ELA     127.895  
402243.063    490115.594    MAHAWATTA ELA     132.316  
402242.500    490120.000    MAHAWATTA ELA     136.736  
402241.938    490124.375    MAHAWATTA ELA     141.157  
402241.406    490128.750    MAHAWATTA ELA     145.578  
402240.844    490133.156    MAHAWATTA ELA     149.999  
402240.313    490137.531    MAHAWATTA ELA     154.419  
402240.000    490141.938    MAHAWATTA ELA     158.840  
402240.000    490144.250    MAHAWATTA ELA     161.150  
402240.000    490146.563    MAHAWATTA ELA     163.460  
402240.000    490151.563    MAHAWATTA ELA     168.460  
402240.000    490156.563    MAHAWATTA ELA     173.460  
402240.000    490161.531    MAHAWATTA ELA     178.431  
402240.000    490166.500    MAHAWATTA ELA     183.402  
402240.000    490171.469    MAHAWATTA ELA     188.372  
402240.000    490176.438    MAHAWATTA ELA     193.343  
402240.000    490181.406    MAHAWATTA ELA     198.314  
402240.000    490186.375    MAHAWATTA ELA     203.285  
402240.000    490191.344    MAHAWATTA ELA     208.256  
402240.000    490196.313    MAHAWATTA ELA     213.227  
402240.000    490201.281    MAHAWATTA ELA     218.197  
402240.000    490206.281    MAHAWATTA ELA     223.168  
402240.000    490211.250    MAHAWATTA ELA     228.139  
402240.000    490216.219    MAHAWATTA ELA     233.110  
402240.000    490221.188    MAHAWATTA ELA     238.081  
402240.000    490226.156    MAHAWATTA ELA     243.052  
402240.000    490231.125    MAHAWATTA ELA     248.023  
402240.000    490236.094    MAHAWATTA ELA     252.993  
402240.000    490241.063    MAHAWATTA ELA     257.964  
402240.000    490246.031    MAHAWATTA ELA     262.935  
402239.563    490250.906    MAHAWATTA ELA     267.906  
402237.312    490255.344    MAHAWATTA ELA     272.877  
402235.094    490259.781    MAHAWATTA ELA     277.848  
402232.875    490264.250    MAHAWATTA ELA     282.818  
402230.656    490268.687    MAHAWATTA ELA     287.789  
402229.719    490273.500    MAHAWATTA ELA     292.760  
402229.375    490278.094    MAHAWATTA ELA     297.373  
402229.031    490282.688    MAHAWATTA ELA     301.986  
402228.656    490287.281    MAHAWATTA ELA     306.598  
402228.313    490291.875    MAHAWATTA ELA     311.211  
402227.969    490296.469    MAHAWATTA ELA     315.824  
402227.594    490301.094    MAHAWATTA ELA     320.437  
402227.250    490305.688    MAHAWATTA ELA     325.049  
402226.906    490310.281    MAHAWATTA ELA     329.662  
402226.563    490314.875    MAHAWATTA ELA     334.275  
402226.188    490319.469    MAHAWATTA ELA     338.888  
402225.844    490324.094    MAHAWATTA ELA     343.501  
402225.500    490328.688    MAHAWATTA ELA     348.113  
402225.125    490333.281    MAHAWATTA ELA     352.726  
402224.781    490337.875    MAHAWATTA ELA     357.339  
402224.437    490342.469    MAHAWATTA ELA     361.952  
402224.063    490347.063    MAHAWATTA ELA     366.564  
402223.719    490351.688    MAHAWATTA ELA     371.177  
402223.375    490356.281    MAHAWATTA ELA     375.790  
402223.000    490360.813    MAHAWATTA ELA     380.350  
402222.656    490365.375    MAHAWATTA ELA     384.910  
402222.313    490369.906    MAHAWATTA ELA     389.470  
402221.969    490374.469    MAHAWATTA ELA     394.030  
402221.625    490379.000    MAHAWATTA ELA     398.590  
402221.250    490383.563    MAHAWATTA ELA     403.150  
402220.906    490388.094    MAHAWATTA ELA     407.710  
402220.563    490392.656    MAHAWATTA ELA     412.270  
402220.219    490397.188    MAHAWATTA ELA     416.830  
402221.219    490401.219    MAHAWATTA ELA     421.390  
402224.469    490404.469    MAHAWATTA ELA     425.950  
402227.688    490407.688    MAHAWATTA ELA     430.510  
402230.906    490410.906    MAHAWATTA ELA     435.070  
402234.125    490414.125    MAHAWATTA ELA     439.630  
402237.500    490417.500    MAHAWATTA ELA     444.402  
402240.875    490420.875    MAHAWATTA ELA     449.175  
402244.250    490424.250    MAHAWATTA ELA     453.948  
402247.625    490427.625    MAHAWATTA ELA     458.720  
402250.656    490430.656    MAHAWATTA ELA     463.011  
402253.688    490433.688    MAHAWATTA ELA     467.302  
402256.719    490436.719    MAHAWATTA ELA     471.594  
402259.781    490439.781    MAHAWATTA ELA     475.885  
402260.000    490443.969    MAHAWATTA ELA     480.176  
402260.000    490448.250    MAHAWATTA ELA     484.467  
402260.000    490452.531    MAHAWATTA ELA     488.759  
402260.000    490456.844    MAHAWATTA ELA     493.050  
402260.000    490460.188    MAHAWATTA ELA     496.392  
402260.000    490463.531    MAHAWATTA ELA     499.733  
402260.000    490466.875    MAHAWATTA ELA     503.075  
402260.156    490470.125    MAHAWATTA ELA     506.417  
402262.938    490471.969    MAHAWATTA ELA     509.758  
402265.719    490473.813    MAHAWATTA ELA     513.100  
402269.875    490476.594    MAHAWATTA ELA     518.100  
402274.063    490479.375    MAHAWATTA ELA     523.100  
402277.469    490481.625    MAHAWATTA ELA     527.193  
402280.875    490483.906    MAHAWATTA ELA     531.285  
402284.250    490486.188    MAHAWATTA ELA     535.378  
402287.656    490488.438    MAHAWATTA ELA     539.470  
402291.219    490490.594    MAHAWATTA ELA     543.625  
402294.937    490492.469    MAHAWATTA ELA     547.780  
402298.656    490494.313    MAHAWATTA ELA     551.935  
402302.375    490496.188    MAHAWATTA ELA     556.090  
402306.563    490498.281    MAHAWATTA ELA     560.785  
402310.750    490500.375    MAHAWATTA ELA     565.480  
402314.969    490502.469    MAHAWATTA ELA     570.175  
402319.156    490504.594    MAHAWATTA ELA     574.870  
402323.344    490506.688    MAHAWATTA ELA     579.565  
402327.563    490508.781    MAHAWATTA ELA     584.260  
402331.094    490511.625    MAHAWATTA ELA     588.955  
402333.688    490515.531    MAHAWATTA ELA     593.650  
402336.313    490519.438    MAHAWATTA ELA     598.345  
402338.906    490523.344    MAHAWATTA ELA     603.040  
402341.156    490526.750    MAHAWATTA ELA     607.125  
402343.438    490530.156    MAHAWATTA ELA     611.210  
402345.688    490533.563    MAHAWATTA ELA     615.295  
402347.969    490536.938    MAHAWATTA ELA     619.380  
402349.750    490541.281    MAHAWATTA ELA     624.348  
402348.781    490546.156    MAHAWATTA ELA     629.316  
402347.781    490551.031    MAHAWATTA ELA     634.284  
402346.813    490555.906    MAHAWATTA ELA     639.253  
402345.844    490560.750    MAHAWATTA ELA     644.221  
402344.875    490565.625    MAHAWATTA ELA     649.189  
402343.906    490570.500    MAHAWATTA ELA     654.157  
402342.938    490575.375    MAHAWATTA ELA     659.125  
402341.937    490580.250    MAHAWATTA ELA     664.093  
402340.969    490585.125    MAHAWATTA ELA     669.061  
402340.000    490590.000    MAHAWATTA ELA     674.029  
402339.031    490594.875    MAHAWATTA ELA     678.997  
402338.063    490599.750    MAHAWATTA ELA     683.966  
402337.094    490604.594    MAHAWATTA ELA     688.934  
402336.094    490609.469    MAHAWATTA ELA     693.902  
402335.125    490614.344    MAHAWATTA ELA     698.870  
402334.188    490619.000    MAHAWATTA ELA     703.620  
402333.281    490623.656    MAHAWATTA ELA     708.370  
402332.344    490628.313    MAHAWATTA ELA     713.120  
402331.406    490632.969    MAHAWATTA ELA     717.870  
402330.469    490637.625    MAHAWATTA ELA     722.620  
402328.844    490642.031    MAHAWATTA ELA     727.370  
402326.469    490646.156    MAHAWATTA ELA     732.120  
402324.125    490650.281    MAHAWATTA ELA     736.870  
402321.781    490654.406    MAHAWATTA ELA     741.620  
402319.406    490658.531    MAHAWATTA ELA     746.370  
402317.062    490662.656    MAHAWATTA ELA     751.120  
402314.688    490666.781    MAHAWATTA ELA     755.870  
402312.688    490670.313    MAHAWATTA ELA     759.937  
402310.656    490673.844    MAHAWATTA ELA     764.003  
402308.656    490677.375    MAHAWATTA ELA     768.070  
402306.625    490680.906    MAHAWATTA ELA     772.137  
402304.594    490684.438    MAHAWATTA ELA     776.203  
402302.594    490687.969    MAHAWATTA ELA     780.270  
402300.125    490692.312    MAHAWATTA ELA     785.270  
402297.625    490696.656    MAHAWATTA ELA     790.270  
402295.625    490700.156    MAHAWATTA ELA     794.313  
402293.625    490703.656    MAHAWATTA ELA     798.355  
402291.625    490707.188    MAHAWATTA ELA     802.398  
402289.438    490710.563    MAHAWATTA ELA     806.440  
402286.594    490713.406    MAHAWATTA ELA     810.482  
402283.719    490716.281    MAHAWATTA ELA     814.525  
